stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
15041,15041,Hudson Ave & 3rd St,37.740336,-122.388724,,,https://www.sfmta.com/15041,,,,0,
15042,15042,Hudson Ave & Ardath Ct,37.73469,-122.38305,,,https://www.sfmta.com/15042,,,,0,
15043,15043,Hudson Ave & Cashmere St,37.73596,-122.38353,,,https://www.sfmta.com/15043,,,,0,
15045,15045,Hudson Ave & Ingalls St,37.73239,-122.379692,,,https://www.sfmta.com/15045,,,,0,
15044,15044,Hudson Ave & Ingalls St,37.732497,-122.37991,,,https://www.sfmta.com/15044,,,,0,
15047,15047,Hudson Ave & Keith St,37.73759,-122.38416,,,https://www.sfmta.com/15047,,,,0,
15046,15046,Hudson Ave & Keith St,37.7377,-122.38412,,,https://www.sfmta.com/15046,,,,0,
15049,15049,Hudson Ave & Mendell St,37.739,-122.38654,,,https://www.sfmta.com/15049,,,,0,
15048,15048,Hudson Ave & Mendell St,37.73896,-122.38628,,,https://www.sfmta.com/15048,,,,0,
15051,15051,Hudson Ave & Whitney Young Cir,37.733355,-122.38212,,,https://www.sfmta.com/15051,,,,0,
15050,15050,Hudson Ave & Whitney Young Cir,37.733319,-122.381845,,,https://www.sfmta.com/15050,,,,0,
15059,15059,Hyde St & Bay St,37.804795,-122.4201,,,https://www.sfmta.com/15059,,,,0,
15060,15060,Hyde St & Bay St,37.804777,-122.420261,,,https://www.sfmta.com/15060,,,,0,
15064,15064,Hyde St & Beach St,37.806642,-122.420535,,,https://www.sfmta.com/15064,,,,0,
15063,15063,Hyde St & Beach St,37.806686,-122.420615,,,https://www.sfmta.com/15063,,,,0,
15061,15061,Hyde St & Broadway,37.796496,-122.418578,,,https://www.sfmta.com/15061,,,,0,
15062,15062,Hyde St & Broadway,37.796345,-122.418395,,,https://www.sfmta.com/15062,,,,0,
15065,15065,Hyde St & California St,37.79111,-122.41747,,,https://www.sfmta.com/15065,,,,0,
15066,15066,Hyde St & Chestnut St,37.80284,-122.4197,,,https://www.sfmta.com/15066,,,,0,
15067,15067,Hyde St & Chestnut St,37.802912,-122.419883,,,https://www.sfmta.com/15067,,,,0,
15068,15068,Hyde St & Clay St,37.79287,-122.41784,,,https://www.sfmta.com/15068,,,,0,
15069,15069,Hyde St & Filbert St,37.800173,-122.419162,,,https://www.sfmta.com/15069,,,,0,
15070,15070,Hyde St & Filbert St,37.800208,-122.419334,,,https://www.sfmta.com/15070,,,,0,
15074,15074,Hyde St & Green St,37.798308,-122.418784,,,https://www.sfmta.com/15074,,,,0,
15075,15075,Hyde St & Green St,37.798343,-122.418956,,,https://www.sfmta.com/15075,,,,0,
15072,15072,Hyde St & Greenwich St,37.801011,-122.419494,,,https://www.sfmta.com/15072,,,,0,
